# RED-LINE-REGISTRY.tsv — Item 74 (BLUEPRINT-ITEMS-73-78 §3). Machine-readable
# enumeration of what the product AI may NEVER touch without a human apply-token.
#
# Parser: scripts/red-line-classifier.sh + scripts/red-line-monotonicity.sh (awk -F tab).
# Non-comment lines are DATA. Comment lines start with '#'.
#
# Data columns (tab-separated):
#   path_prefix        : a changed file matches this row iff its path starts with path_prefix
#   class              : one of
#                          product-red-line | proven-fsm-core | verification-seam |
#                          forensic-truth | crypto | proof-machinery | safety-machinery |
#                          governance-self
#   removal_authority  : out-of-band-only      -> NEVER editable by AI (D11 Q4 hard line);
#                                             removal/mod requires operator ruling recorded
#                                             in DECISIONS.md (D11 Q5) AND human editing.
#                        operator-ruling-required -> AI may edit UNDER the human apply-token,
#                                             but removal additionally requires a DECISIONS.md
#                                             D-entry marker (D11 Q5 monotonicity).
#   why               : why this path is in the registry (load-bearing red line).
#   source            : REAL file:line citation on the integration tree (every row verified
#                       present). No un-cited rows.
#   status            : live | placeholder (placeholder = referenced machinery unbuilt here).
#
# §0.4 central acceptance property: the registry + gate code are CORE — unmodifiable by the
# pipeline they govern. Item 73 (the Gate-Root invariant) is recorded by this registry's own
# inclusion (the governance-self self-row below, blueprint §3.3(8)) and by the monotonicity
# guard (scripts/red-line-monotonicity.sh). This file is itself in the registry.
#
# Meta-law (item 73 clause, recorded here per blueprint §2.3(5)): no `pub` type / fn / macro
# anywhere in the crate may construct a value conferring write authority over this registry,
# the gate code, or the composition root. The registry exposes zero `pub fn` taking `&mut`,
# zero `pub static mut`, zero interior-mutability handle — the only way to change it is a
# human editing the file through the normal CI suite (out-of-band-only / operator-ruling).
#
# D11 Q4 (operator ruling, 2026-07-20) encoding:
#   - HARD line (removal_authority=out-of-band-only): core kernel authority + circuit breaker
#     (kernel/src/breaker/, item 9) + the order/money/decide-fold core. Never editable by AI.
#   - AI-reachable under token (removal_authority=operator-ruling-required): agent scope
#     (kernel/src/ports/agent/scope.rs) + the governance module itself (items 73-76 code,
#     i.e. this registry + the classifier/monotonicity scripts).
# D11 Q5 (operator ruling, 2026-07-20): row REMOVAL requires a DECISIONS.md D-entry marker
#   (e.g. "D12:" referenced in the row's history / commit msg). Monotonicity guard enforces it.
#
# Addition of a row is always safe (widens protection) → GREEN. Removal without a D-entry
#   marker → RED (the corrigibility-adjacent attack: quietly drop a protected path).
# ────────────────────────────────────────────────────────────────────────────────────────
# (1) PRODUCT RED-LINES — money / auth / capability / migrations / bulk-op.
kernel/src/money.rs	product-red-line	out-of-band-only	Integer-only checked money arithmetic; RED LINE: zero float on monetary values. D11 Q4: order/money core.	kernel/src/money.rs:8,17,22	live
kernel/src/ports/agent/scope.rs	product-red-line	out-of-band-only	DenyByDefault + AllowList: runtime-plane red-line set (money/auth/secrets/MIGRATIONS/destructive-bulk). D11 Q4: core authority. NOTE: agent scope is AI-editable under token per Q4 but the SCOPE FILE sits in the core-authority boundary; Q4 marks it removal_authority=operator-ruling-required.	kernel/src/ports/agent/scope.rs:257-283,48	live
kernel/src/retrieval/memory_store.rs	product-red-line	out-of-band-only	pgrust SQL adapter boundary (OFF-by-default feature); bulk MSRV-destructive store surface — migrations/bulk-op red-line. D11 Q4: core authority.	kernel/src/retrieval/memory_store.rs:10-21	live
# (2) PROVEN-FSM CORE — order FSM golden signature + spectral-radius const-proof.
kernel/src/order_machine.rs	proven-fsm-core	out-of-band-only	12-state order lifecycle FSM; D11 Q4: order/money core.	kernel/src/order_machine.rs:513,383	live
kernel/src/decision/mod.rs	proven-fsm-core	out-of-band-only	Kernel decision-fold core (MoE DecisionUnit family; the decide half of order/money/decide-fold). D11 Q4: core authority — never editable by AI.	kernel/src/decision/mod.rs:1-5	live
# (3) VERIFICATION SEAM — replay-before-persist import gate (item 75's precedent).
kernel/src/decision/import.rs	verification-seam	operator-ruling-required	import_unit replay-before-persist gate; the kernel re-executes its own oracle on proposed state. Governance-self-adjacent (item 75 step-zero seam). Editable under token per D11 Q4.	kernel/src/decision/import.rs:81	live
# (4) FORENSIC TRUTH SURFACE — hash chain + FDR ring/schema/CRC (item 76 depends on it).
kernel/src/event_log.rs	forensic-truth	out-of-band-only	SHA3-256 content-addressed hash chain (prev content-id, actor_seq). D11 Q4: core authority — subject must never modify its own evidence.	kernel/src/event_log.rs:109,135-160	live
kernel/src/fdr/ring.rs	forensic-truth	out-of-band-only	FDR durable ring: CRC32-checked NDJSON + kill-9 recovery. D11 Q4: core authority.	kernel/src/fdr/ring.rs:1-5	live
kernel/src/fdr/schema.rs	forensic-truth	out-of-band-only	FDR event envelope (hw field first-class); tamper-evidence schema. D11 Q4: core authority.	kernel/src/fdr/schema.rs:1-5	live
kernel/src/fdr/json.rs	forensic-truth	out-of-band-only	FDR JSON serde + escape-byte oracle. D11 Q4: core authority.	kernel/src/fdr/json.rs:1-5	live
# (5) CRYPTO — PQ + constant-time + capability cert signing (KAT-gated).
